id,uniqueId,nome,nacionalidade,clube,posicao,idade,ca,pa,aDiff,valor,valorVenda,peEsquerdo,peDireito,melhorRating,melhorPotRating,fitness,Mtc Exc,Jdns,Con,Aerial Ability,Aggression,Agility,Ambition,Anticipation,Balance,Bravery,Command Of Area,Communication,Consistency,Controversy,Corners,Creativity,Crossing,Decisions,Determination,Dirtiness,Dribbling,Eccentricity,Finishing,First Touch,Flair,Handling,Heading,Important Matches,Influence,Injury Proneness,Jumping,Kicking,Long Shots,Long Throws,Loyalty,Marking,Natural Fitness,Off The Ball,One On Ones,Pace,Passing,Penalties,Positioning,Pressure,Professionalism,Reflexes,Rushing Out,Free Kicks,Stamina,Strength,Technique,Temperament,Tendency To Punch,Composure,Throwing,Versatility,Work Rate,fm2008_clube_origem,clubId,clubName,status,id_importacao,salario,salario_origem,lista_definitiva
122025,122025,"Carrick, Michael",Inglaterra,Sem Clube,DM,25,161,170,9,8.004.570,14.610.030,15,20,"70,12% (M)","70,12% (M)","100,00%","100,00%",0,100%,1,8,12,15,15,14,10,1,1,13,5,13,17,11,14,16,7,12,1,10,16,6,1,13,12,9,5,14,1,13,2,11,13,15,10,1,13,18,12,15,13,16,1,1,10,14,14,15,16,1,16,1,5,14,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,122025,563000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000905,28000905,"Cathcart, Craig",Irlanda Norte,Sem Clube,D C,18,86,130,44,617.760,428.410,20,6,"59,63% (CB)","68,43% (CB)","100,00%","100,00%",0,100%,1,12,10,8,11,10,12,1,1,14,3,3,5,3,8,14,6,6,1,4,11,3,1,14,9,14,6,14,1,1,5,9,12,13,6,1,11,9,2,14,10,12,1,1,3,10,13,11,14,1,13,1,5,14,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000905,264000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5131427,5131427,"Chester, James",Inglaterra,Sem Clube,D C,18,87,127,40,569.240,395.760,5,20,"58,00% (CB)","66,80% (CB)","100,00%","100,00%",0,100%,1,10,8,11,13,7,11,1,1,14,3,2,4,3,9,12,8,3,1,4,10,2,1,14,11,10,4,13,1,2,4,12,12,11,4,1,11,7,2,12,14,14,1,1,2,11,13,10,12,1,11,1,3,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5131427,267000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000906,28000906,"Cleverley, Tom",Inglaterra,Sem Clube,D R,17,72,88,16,78.540,54.740,11,20,"50,54% (FB)","51,80% (FB)","100,00%","100,00%",0,100%,1,12,11,9,11,10,10,1,1,11,2,2,4,8,9,16,8,7,1,4,10,7,1,8,8,5,11,8,1,1,8,14,10,10,5,1,12,8,3,10,11,12,1,1,2,9,8,10,10,1,9,1,8,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000906,217000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28012279,28012279,"Curran, Chris",Irlanda Norte / Irlanda,Sem Clube,AM RL,16,50,117,67,0,0,9,20,"39,85% (W)","58,54% (W)","100,00%","100,00%",0,100%,3,9,7,14,4,8,7,2,2,8,4,5,2,9,5,12,3,7,1,8,9,11,1,2,8,3,2,5,3,3,1,11,3,11,7,5,12,6,4,1,12,10,3,1,2,7,5,8,10,5,5,1,8,9,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28012279,150000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000907,28000907,"Derbyshire, James",Inglaterra,Sem Clube,M RC,17,60,95,35,0,0,9,20,"43,84% (W)","53,38% (W)","100,00%","100,00%",0,100%,1,9,8,12,6,7,4,1,1,10,2,3,8,6,7,12,5,4,1,5,9,6,1,3,12,6,3,4,1,2,3,10,7,11,8,1,12,11,4,11,8,14,1,1,4,9,7,9,16,1,9,1,13,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000907,180000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28012282,28012282,"Devlin, Conor",Irlanda Norte,Sem Clube,GK,15,48,128,80,0,0,5,20,"47,32% (GK)","64,43% (GK)","100,00%","100,00%",0,100%,9,3,10,10,7,8,10,8,5,8,2,3,5,3,8,12,2,5,4,3,8,1,11,4,8,5,7,8,7,3,5,12,3,10,3,9,7,5,4,9,11,9,12,8,11,8,8,8,11,4,6,6,5,9,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28012282,144000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5626165,5626165,Dong Fangzhuo,China,Sem Clube,F C,22,100,130,30,932.600,641.730,8,20,"57,69% (FS)","62,38% (FS)","100,00%","100,00%",0,100%,1,8,12,15,6,9,12,1,1,7,2,7,8,10,11,16,2,11,1,12,12,8,1,12,5,2,3,13,1,9,7,11,8,12,10,1,15,8,6,4,9,11,1,1,11,10,10,12,12,1,9,1,3,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5626165,309000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
29006726,29006726,"Drinkwater, Daniel",Inglaterra,Sem Clube,M C,17,82,146,64,0,0,9,20,"50,11% (M)","63,94% (M)","100,00%","100,00%",0,100%,1,10,9,10,11,8,8,1,1,14,2,10,10,6,9,12,5,5,1,5,13,8,1,6,11,9,3,6,1,8,1,12,5,11,7,1,12,13,5,9,14,12,1,1,12,10,8,12,14,1,10,1,5,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,29006726,246000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28016569,28016569,"Dudgeon, Joe",Inglaterra,Sem Clube,D L,16,53,134,81,0,0,11,20,"42,59% (FB)","61,48% (FB)","100,00%","100,00%",0,100%,2,11,10,12,8,8,7,4,4,12,4,1,3,5,7,11,5,5,5,3,8,4,1,5,7,4,4,6,2,1,3,14,10,10,4,2,10,6,2,8,10,12,3,2,2,10,6,8,11,1,6,1,11,9,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28016569,159000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5112070,5112070,"Eagles, Chris",Inglaterra,Sem Clube,AM RC,21,126,147,21,3.567.970,2.671.690,10,20,"63,21% (W)","67,98% (W)","100,00%","100,00%",0,100%,1,13,14,11,10,14,11,1,1,10,4,13,14,13,7,13,14,15,1,11,14,13,1,7,7,5,4,7,1,14,2,14,7,11,12,1,13,13,9,6,11,15,1,1,13,10,7,14,15,1,13,1,7,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5112070,414000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5131428,5131428,"Eckersley, Richard",Inglaterra,Sem Clube,D RL,18,83,124,41,569.240,395.760,11,20,"49,80% (FB)","59,24% (FB)","100,00%","100,00%",0,100%,1,15,10,10,8,10,13,1,1,15,6,1,2,7,9,17,12,8,1,3,9,4,1,6,10,5,3,9,1,1,3,9,8,15,6,1,13,6,1,10,14,16,1,1,1,12,11,8,14,1,7,1,8,11,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5131428,255000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
53008090,53008090,"Eikrem, Magnus",Noruega,Sem Clube,AM RC,16,74,157,83,0,0,8,20,"51,27% (AM)","69,59% (AM)","100,00%","100,00%",0,100%,1,5,10,17,10,9,6,1,1,8,2,14,12,12,8,12,1,7,1,6,13,13,1,2,6,2,5,4,1,4,1,12,2,10,12,1,12,13,5,4,11,13,1,1,14,9,6,13,20,1,10,1,10,9,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,53008090,222000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28002947,28002947,"Evans, Corry",Irlanda Norte,Sem Clube,M C,16,75,142,67,0,0,7,20,"51,06% (M)","69,22% (M)","100,00%","100,00%",0,100%,1,13,8,15,8,7,9,1,1,13,3,4,10,5,9,15,6,7,1,6,11,7,1,6,11,13,6,8,1,6,1,18,6,14,10,1,12,12,8,8,13,12,1,1,3,13,9,12,12,1,9,1,11,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28002947,225000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5123096,5123096,"Evans, Seán",Inglaterra,Sem Clube,D/AM L,19,81,112,31,458.280,318.210,20,8,"53,55% (W)","58,61% (W)","100,00%","100,00%",0,100%,1,8,11,12,8,8,7,1,1,12,3,12,8,12,7,12,2,10,1,7,12,10,1,4,13,5,5,4,1,6,1,10,4,9,11,1,14,8,5,10,10,16,1,1,11,9,9,10,16,1,9,1,9,11,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5123096,248000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
3802422,3802422,"Evra, Patrice",França / Senegal,Sem Clube,D L,26,169,178,9,11.100.640,33.005.690,20,7,"78,05% (FB)","82,48% (FB)","100,00%","100,00%",0,100%,1,15,16,14,15,15,14,1,1,16,8,12,10,13,14,18,9,15,1,9,16,14,1,15,16,8,3,14,1,13,12,16,13,15,16,1,18,15,7,15,16,16,1,1,6,15,13,17,16,1,14,1,12,15,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,3802422,618000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000908,28000908,"Fagan, Chris",Irlanda,Sem Clube,F C,18,83,127,44,668.840,459.620,8,20,"54,52% (FS)","63,75% (FS)","100,00%","100,00%",0,100%,1,6,13,14,9,11,5,1,1,7,3,6,13,7,8,8,2,11,1,10,12,10,1,4,6,2,3,7,1,7,2,10,4,12,13,1,12,12,8,7,9,10,1,1,6,11,8,12,12,1,8,1,8,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000908,256000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
2004089,2004089,"Ferdinand, Rio",Inglaterra / St Lucia,Sem Clube,D C,28,179,185,6,17.986.100,48.569.270,14,20,"73,25% (CB)","73,25% (CB)","100,00%","100,00%",0,100%,1,8,16,19,17,14,11,1,1,17,15,1,10,3,14,16,4,8,1,5,16,8,1,15,16,15,4,16,1,2,2,12,17,19,7,1,17,12,7,18,15,12,1,1,2,14,13,15,15,1,17,1,6,14,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,2004089,717000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
127973,127973,"Fletcher, Darren",Escócia / Irlanda,Sem Clube,M C,23,155,166,11,5.653.310,5.645.570,13,20,"69,86% (M)","74,47% (M)","100,00%","100,00%",0,100%,1,11,13,12,15,13,14,1,1,14,3,11,15,12,14,14,4,9,1,10,15,6,1,12,17,13,6,10,1,9,2,17,12,17,14,1,13,15,12,13,15,17,1,1,6,18,12,14,16,1,14,1,10,19,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,127973,522000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5104413,5104413,"Foster, Ben",Inglaterra,Sem Clube,GK,24,148,175,27,4.004.000,6.247.920,20,10,"69,85% (GK)","74,13% (GK)","100,00%","100,00%",0,100%,16,10,15,12,13,12,12,17,17,13,2,1,8,1,11,12,2,1,3,1,9,1,16,2,13,9,5,14,16,1,1,6,1,16,3,13,9,1,8,13,12,14,14,14,1,14,16,10,12,9,10,16,1,8,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5104413,484000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
2107501,2107501,Fábio,Brasil / Portugal,Sem Clube,D/WB/AM L,16,84,151,67,2.600.000,6.499.040,13,20,"53,34% (W)","67,58% (W)","100,00%","100,00%",0,100%,2,13,12,18,7,7,11,2,1,12,6,9,8,11,10,15,11,10,2,8,8,14,3,10,5,11,12,8,2,9,11,6,5,14,10,1,15,10,4,5,13,12,9,1,9,9,6,11,1,2,10,5,18,10,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,2107501,278000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
29006727,29006727,"Galbraith, Daniel",Escócia,Sem Clube,AM L,16,74,151,77,0,0,20,12,"47,94% (W)","66,14% (W)","100,00%","100,00%",0,100%,1,8,9,16,5,10,7,1,1,11,4,11,8,13,7,14,4,8,1,6,10,13,1,3,8,6,5,4,1,7,1,8,3,12,9,1,13,7,7,2,11,12,1,1,11,8,7,10,11,1,6,1,10,11,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,29006727,222000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
2018995,2018995,"Giggs, Ryan",País de Gales,Sem Clube,AM LC,33,163,185,22,4.972.320,13.856.710,20,7,"81,01% (W)","85,65% (W)","100,00%","100,00%",0,100%,1,8,16,11,17,16,12,1,1,12,2,16,17,16,15,17,5,19,1,13,20,17,1,8,13,13,12,8,1,10,2,20,12,14,18,1,15,17,12,14,15,19,1,1,15,15,13,19,15,1,14,1,11,16,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,2018995,539000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28018584,28018584,"Gill, Oliver",Inglaterra,Sem Clube,D C,16,57,136,79,0,0,7,20,"47,05% (CB)","64,65% (CB)","100,00%","100,00%",0,100%,3,11,6,5,7,6,11,4,3,12,3,1,4,3,8,8,7,3,3,4,8,2,1,12,8,9,3,12,2,2,3,12,8,12,3,3,10,5,2,10,10,14,3,3,2,8,10,8,12,5,6,2,4,10,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28018584,171000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5124469,5124469,"Gray, David",Escócia,Sem Clube,D/M R,19,80,98,18,554.180,382.340,7,20,"55,58% (FB)","60,30% (FB)","100,00%","100,00%",0,100%,1,12,9,14,13,10,9,1,1,10,4,2,7,13,9,13,5,8,1,9,10,7,1,9,8,5,6,8,1,5,3,9,11,10,7,1,12,7,14,11,12,14,1,1,1,12,11,10,10,1,7,1,20,15,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5124469,246000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
6001646,6001646,"Hargreaves, Owen",Inglaterra / Canadá / País de Gales,Sem Clube,DM,26,169,177,8,17.000.000,20.400.000,14,20,"72,81% (DM)","72,81% (DM)","100,00%","100,00%",0,100%,3,15,16,16,16,12,16,2,3,19,5,8,13,12,15,18,8,11,5,9,13,5,1,8,19,13,9,8,2,15,4,13,14,15,8,3,14,14,14,15,17,19,13,4,15,18,12,13,15,5,14,1,13,18,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,6001646,677000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5112064,5112064,"Heaton, Tom",Inglaterra,Sem Clube,GK,21,95,133,38,460.210,320.750,8,20,"58,49% (GK)","67,05% (GK)","100,00%","100,00%",0,100%,12,5,14,10,8,10,9,11,10,12,2,2,5,3,8,11,8,5,3,5,8,1,12,2,10,4,4,15,13,5,1,12,1,11,1,10,8,5,1,10,12,15,14,13,14,10,11,8,13,4,6,13,1,6,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5112064,290000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5131433,5131433,"Hewson, Sam",Inglaterra,Sem Clube,M C,18,93,143,50,860.940,593.990,10,20,"52,42% (M)","63,76% (M)","100,00%","100,00%",0,100%,1,14,10,14,8,9,11,1,1,14,3,1,9,4,10,16,10,8,1,10,13,10,1,5,14,13,3,7,1,9,1,11,7,14,13,1,13,10,12,6,13,12,1,1,6,14,11,12,11,1,10,1,6,13,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5131433,288000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000909,28000909,"James, Matthew",Inglaterra,Sem Clube,"D C, M C",15,65,134,69,0,0,11,20,"48,14% (M)","61,96% (M)","100,00%","100,00%",0,100%,1,12,7,16,7,7,8,1,1,5,2,2,11,4,8,12,3,6,1,7,12,7,1,4,10,14,2,8,1,3,1,9,7,13,6,1,12,12,6,9,15,14,1,1,5,10,10,11,12,1,8,1,10,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000909,195000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5116923,5116923,"Jones, Ritchie",Inglaterra,Sem Clube,DM,20,90,113,23,464.510,324.150,5,20,"61,19% (DM)","66,05% (DM)","100,00%","100,00%",0,100%,1,16,11,13,13,10,14,1,1,12,5,5,8,7,10,16,9,8,1,6,13,6,1,9,13,10,2,8,1,6,3,16,11,16,9,1,12,12,10,13,13,15,1,1,5,16,11,12,16,1,11,1,12,16,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5116923,275000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
53020695,53020695,"King, Joshua",Noruega / Gâmbia,Sem Clube,ST,15,55,125,70,0,0,20,5,"47,79% (FS)","62,94% (FS)","100,00%","100,00%",0,100%,5,14,12,16,8,8,8,2,1,8,4,9,9,3,3,13,19,12,1,2,10,16,2,8,9,7,4,8,2,9,4,5,9,12,11,5,9,9,3,2,10,9,3,4,4,9,10,9,12,3,7,1,3,11,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,53020695,165000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
884670,884670,"Kuszczak, Tomasz",Polónia,Sem Clube,GK,25,143,158,15,2.125.000,6.375.000,7,20,"70,00% (GK)","74,28% (GK)","100,00%","100,00%",0,100%,13,5,12,14,12,11,13,13,11,11,3,5,5,5,12,15,5,5,2,5,10,1,16,4,13,9,4,16,10,3,2,15,1,11,2,15,11,8,5,13,12,15,18,13,16,12,14,13,11,14,10,14,1,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,884670,450000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28019289,28019289,"Lampkin, Jason",Inglaterra / Espanha,Sem Clube,M C,15,51,154,103,0,0,10,20,"44,50% (M)","67,53% (M)","100,00%","100,00%",0,100%,1,12,9,9,7,7,10,5,3,11,5,4,7,6,7,11,5,7,2,7,10,8,4,5,10,4,3,5,2,5,4,12,6,12,9,5,11,12,8,5,8,14,10,1,5,9,8,11,9,5,8,1,8,10,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28019289,153000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5116927,5116927,"Lea, Michael",Inglaterra,Sem Clube,D LC,19,94,113,19,256.050,178.460,20,13,"52,58% (CB)","56,98% (CB)","100,00%","100,00%",0,100%,1,15,7,10,9,10,14,1,1,15,5,1,5,6,10,16,12,4,1,2,8,3,1,11,8,7,8,9,1,1,3,11,11,13,5,1,11,6,1,12,10,16,1,1,2,10,12,10,15,1,10,1,4,11,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5116927,285000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
5006431,5006431,"Macheda, Federico",Itália,Sem Clube,ST,15,71,131,60,0,0,13,20,"46,72% (FS)","60,57% (FS)","100,00%","100,00%",0,100%,2,6,7,15,7,9,6,4,5,9,2,3,7,5,7,12,3,6,2,11,10,13,2,6,9,3,3,8,4,4,2,7,3,12,9,2,12,8,8,1,11,12,7,4,5,7,8,10,11,3,10,3,6,6,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,5006431,213000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28018587,28018587,"McClair, Liam",Escócia / Inglaterra,Sem Clube,M C,16,46,105,59,0,0,5,20,"41,45% (M)","55,27% (M)","100,00%","100,00%",0,100%,2,7,6,6,8,6,6,5,3,10,3,3,6,4,8,9,7,4,3,6,10,2,5,11,4,3,7,10,3,5,2,14,5,13,3,1,10,11,3,8,9,16,3,1,2,9,8,10,10,4,7,4,5,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28018587,138000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
29006729,29006729,"McCormack, Conor",Irlanda,Sem Clube,"D R, M C",17,70,115,45,0,0,14,20,"44,69% (M)","53,91% (M)","100,00%","100,00%",0,100%,1,14,10,11,6,9,13,1,1,6,2,2,8,4,6,13,6,5,1,5,10,8,1,6,7,8,4,6,1,7,1,14,4,15,7,1,12,11,5,7,11,15,1,1,4,11,9,10,10,1,7,1,12,12,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,29006729,210000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
